# timestamp;okx/BTC-USDT-SWAP;okx/DOGE-USDT-SWAP;okx/LINK-USDT-SWAP;okx/XMR-USDT-SWAP;okx/SOL-USDT-SWAP
1,63842E+12;56897,6;0,20571;24,793;230,85;223,06
1,63842E+12;56651,7;0,20572;24,76;232,06;223,21
1,63843E+12;56819;0,206038;24,833;231,54;222,975
1,63843E+12;56947,4;0,220576;24,846;233,8;227,989
1,63844E+12;56682,7;0,21408;24,824;233,75;227,344
1,63844E+12;56564,5;0,216393;24,819;234,12;227,736
1,63844E+12;56326,7;0,21531;24,801;235,03;226,875
1,63845E+12;56534,5;0,21484;24,756;233,76;225,141
1,63845E+12;56476,3;0,212272;24,727;233,05;223,274
1,63845E+12;57114,7;0,212736;24,985;236,38;228,937
1,63846E+12;56532;0,210857;24,746;237,38;229,378
1,63846E+12;56353,1;0,209377;24,69;239,35;228,769
1,63846E+12;56580,3;0,210023;24,88;240,18;230,021
1,63847E+12;56733,9;0,208893;24,769;241,45;233,58
1,63847E+12;56618,9;0,208314;24,766;238,32;234,012
1,63848E+12;57029,7;0,210039;24,858;239,07;239,353
1,63848E+12;56868,6;0,211241;24,817;239,01;241,733
1,63848E+12;56866;0,210844;24,758;239,29;238,154
1,63849E+12;56487,8;0,209469;24,543;239,33;233,751
1,63849E+12;56512;0,20998;24,671;239,27;231,491
1,63849E+12;56514,9;0,209396;24,565;240,51;230,612
1,6385E+12;56261,3;0,206815;24,431;237,27;228,431
1,6385E+12;56330,4;0,207313;24,516;239,29;230,06
1,6385E+12;56608,5;0,208431;24,662;240,4;229,987
1,63851E+12;56740,3;0,209164;24,911;239,91;230,918
1,63851E+12;56839;0,209977;25,188;242,75;234,323
1,63851E+12;56757,7;0,209565;25,067;242,01;232,515
1,63852E+12;56598,3;0,209619;25,351;241,27;232,024
1,63852E+12;56838,8;0,209543;25,324;242,48;234,436
1,63853E+12;56864,1;0,209882;25,348;241,74;236,438
1,63853E+12;56989,2;0,209233;25,602;240,76;237,661
1,63853E+12;56805,8;0,209523;25,456;241,87;235,367
1,63854E+12;56881,9;0,2097;25,797;240,14;235,848
1,63854E+12;56251,7;0,206815;25,237;235,7;230,526
1,63854E+12;55979,8;0,205095;24,888;233,7;224,488
1,63855E+12;54995;0,20049;24,088;228,35;219,662
1,63855E+12;54993;0,202169;24,169;229,74;218,839
1,63855E+12;54884;0,202657;24,076;228,81;218,17
1,63856E+12;53832,5;0,199599;23,489;225,53;212,961
1,63856E+12;53418,7;0,199317;23,464;223,88;215,893
1,63857E+12;53600;0,200303;23,399;223,23;214,745
1,63857E+12;53386;0,199175;23,133;221,45;210,7
1,63857E+12;53595,5;0,199867;23,298;222,95;211,542
1,63858E+12;53033,1;0,196487;22,637;221,83;203,069
1,63858E+12;52985,4;0,196862;22,799;223,04;204,042
1,63858E+12;53111;0,197444;22,875;223,89;205,562
1,63859E+12;52011,2;0,189723;21,932;216,72;195,996
1,63859E+12;50274,1;0,182775;20,836;212,12;193,019
1,63859E+12;47510,4;0,1605;18,596;189,92;192,965
1,6386E+12;47469,4;0,160823;18,82;195,22;190,403
1,6386E+12;47245,7;0,161165;19,042;195,21;193,072
1,6386E+12;47484,1;0,16427;19,313;199,07;191,799
1,63861E+12;47481,5;0,168169;19,379;196,42;193,284
1,63861E+12;47379,2;0,167938;19,24;197,97;193,731
1,63862E+12;46501,1;0,159861;18,884;193,29;188,361
1,63862E+12;47072,1;0,1621;19,209;197,66;190,23
1,63862E+12;47377,4;0,16802;19,491;199,39;193,62
1,63863E+12;47799,9;0,173831;20,078;201,51;202,943
1,63863E+12;48186,5;0,175893;20,006;199,52;204,918
1,63863E+12;47828,8;0,17309;19,585;194,94;198,833
1,63864E+12;48243,3;0,175299;19,931;197,75;202,997
1,63864E+12;48847,2;0,178497;20,102;198,76;205,939
1,63864E+12;49243;0,180299;20,653;198,91;206,895
1,63865E+12;49241,4;0,176988;20,748;199,23;206,94
