# timestamp;okx/BTC-USDT-SWAP;okx/DOGE-USDT-SWAP;okx/LINK-USDT-SWAP;okx/XMR-USDT-SWAP;okx/SOL-USDT-SWAP
1638420000000;56897.6;0.20571;24.793;230.85;223.06
1638420000000;56651.7;0.20572;24.76;232.06;223.21
1638430000000;56819;0.206038;24.833;231.54;222.975
1638430000000;56947.4;0.220576;24.846;233.8;227.989
1638440000000;56682.7;0.21408;24.824;233.75;227.344
1638440000000;56564.5;0.216393;24.819;234.12;227.736
1638440000000;56326.7;0.21531;24.801;235.03;226.875
1638450000000;56534.5;0.21484;24.756;233.76;225.141
1638450000000;56476.3;0.212272;24.727;233.05;223.274
1638450000000;57114.7;0.212736;24.985;236.38;228.937
1638460000000;56532;0.210857;24.746;237.38;229.378
1638460000000;56353.1;0.209377;24.69;239.35;228.769
1638460000000;56580.3;0.210023;24.88;240.18;230.021
1638470000000;56733.9;0.208893;24.769;241.45;233.58
1638470000000;56618.9;0.208314;24.766;238.32;234.012
1638480000000;57029.7;0.210039;24.858;239.07;239.353
1638480000000;56868.6;0.211241;24.817;239.01;241.733
1638480000000;56866;0.210844;24.758;239.29;238.154
1638490000000;56487.8;0.209469;24.543;239.33;233.751
1638490000000;56512;0.20998;24.671;239.27;231.491
1638490000000;56514.9;0.209396;24.565;240.51;230.612
1638500000000;56261.3;0.206815;24.431;237.27;228.431
1638500000000;56330.4;0.207313;24.516;239.29;230.06
1638500000000;56608.5;0.208431;24.662;240.4;229.987
1638510000000;56740.3;0.209164;24.911;239.91;230.918
1638510000000;56839;0.209977;25.188;242.75;234.323
1638510000000;56757.7;0.209565;25.067;242.01;232.515
1638520000000;56598.3;0.209619;25.351;241.27;232.024
1638520000000;56838.8;0.209543;25.324;242.48;234.436
1638530000000;56864.1;0.209882;25.348;241.74;236.438
1638530000000;56989.2;0.209233;25.602;240.76;237.661
1638530000000;56805.8;0.209523;25.456;241.87;235.367
1638540000000;56881.9;0.2097;25.797;240.14;235.848
1638540000000;56251.7;0.206815;25.237;235.7;230.526
1638540000000;55979.8;0.205095;24.888;233.7;224.488
1638550000000;54995;0.20049;24.088;228.35;219.662
1638550000000;54993;0.202169;24.169;229.74;218.839
1638550000000;54884;0.202657;24.076;228.81;218.17
1638560000000;53832.5;0.199599;23.489;225.53;212.961
1638560000000;53418.7;0.199317;23.464;223.88;215.893
