date_hour,Bitcoin,Dogecoin,Chainlink,Monero,Solana
2021-12-02 00:00:00,56897.6,0.20571,24.793,230.85,223.06
2021-12-02 01:00:00,56651.7,0.20572,24.76,232.06,223.21
2021-12-02 02:00:00,56819.0,0.206038,24.833,231.54,222.975
2021-12-02 03:00:00,56947.4,0.220576,24.846,233.8,227.989
2021-12-02 04:00:00,56682.7,0.21408,24.824,233.75,227.344
2021-12-02 05:00:00,56564.5,0.216393,24.819,234.12,227.736
2021-12-02 06:00:00,56326.7,0.21531,24.801,235.03,226.875
2021-12-02 07:00:00,56534.5,0.21484,24.756,233.76,225.141
2021-12-02 08:00:00,56476.3,0.212272,24.727,233.05,223.274
2021-12-02 09:00:00,57114.7,0.212736,24.985,236.38,228.937
2021-12-02 10:00:00,56532.0,0.210857,24.746,237.38,229.378
2021-12-02 11:00:00,56353.1,0.209377,24.69,239.35,228.769
2021-12-02 12:00:00,56580.3,0.210023,24.88,240.18,230.021
2021-12-02 13:00:00,56733.9,0.208893,24.769,241.45,233.58
2021-12-02 14:00:00,56618.9,0.208314,24.766,238.32,234.012
2021-12-02 15:00:00,57029.7,0.210039,24.858,239.07,239.353
2021-12-02 16:00:00,56868.6,0.211241,24.817,239.01,241.733
2021-12-02 17:00:00,56866.0,0.210844,24.758,239.29,238.154
2021-12-02 18:00:00,56487.8,0.209469,24.543,239.33,233.751
2021-12-02 19:00:00,56512.0,0.20998,24.671,239.27,231.491
2021-12-02 20:00:00,56514.9,0.209396,24.565,240.51,230.612
2021-12-02 21:00:00,56261.3,0.206815,24.431,237.27,228.431
2021-12-02 22:00:00,56330.4,0.207313,24.516,239.29,230.06
2021-12-02 23:00:00,56608.5,0.208431,24.662,240.4,229.987
2021-12-03 00:00:00,56740.3,0.209164,24.911,239.91,230.918
2021-12-03 01:00:00,56839.0,0.209977,25.188,242.75,234.323
2021-12-03 02:00:00,56757.7,0.209565,25.067,242.01,232.515
2021-12-03 03:00:00,56598.3,0.209619,25.351,241.27,232.024
2021-12-03 04:00:00,56838.8,0.209543,25.324,242.48,234.436
2021-12-03 05:00:00,56864.1,0.209882,25.348,241.74,236.438
2021-12-03 06:00:00,56989.2,0.209233,25.602,240.76,237.661
2021-12-03 07:00:00,56805.8,0.209523,25.456,241.87,235.367
2021-12-03 08:00:00,56881.9,0.2097,25.797,240.14,235.848
2021-12-03 09:00:00,56251.7,0.206815,25.237,235.7,230.526
2021-12-03 10:00:00,55979.8,0.205095,24.888,233.7,224.488
2021-12-03 11:00:00,54995.0,0.20049,24.088,228.35,219.662
2021-12-03 12:00:00,54993.0,0.202169,24.169,229.74,218.839
2021-12-03 13:00:00,54884.0,0.202657,24.076,228.81,218.17
2021-12-03 14:00:00,53832.5,0.199599,23.489,225.53,212.961
2021-12-03 15:00:00,53418.7,0.199317,23.464,223.88,215.893
2021-12-03 16:00:00,53600.0,0.200303,23.399,223.23,214.745
2021-12-03 17:00:00,53386.0,0.199175,23.133,221.45,210.7
2021-12-03 18:00:00,53595.5,0.199867,23.298,222.95,211.542
2021-12-03 19:00:00,53033.1,0.196487,22.637,221.83,203.069
2021-12-03 20:00:00,52985.4,0.196862,22.799,223.04,204.042
2021-12-03 21:00:00,53111.0,0.197444,22.875,223.89,205.562
2021-12-04 00:00:00,52011.2,0.189723,21.932,216.72,195.996
2021-12-04 01:00:00,50274.1,0.182775,20.836,212.12,193.019
2021-12-04 02:00:00,47510.4,0.1605,18.596,189.92,192.965
2021-12-04 03:00:00,47469.4,0.160823,18.82,195.22,190.403
2021-12-04 04:00:00,47245.7,0.161165,19.042,195.21,193.072
2021-12-04 05:00:00,47484.1,0.16427,19.313,199.07,191.799
2021-12-04 06:00:00,47481.5,0.168169,19.379,196.42,193.284
2021-12-04 07:00:00,47379.2,0.167938,19.24,197.97,193.731
2021-12-04 08:00:00,46501.1,0.159861,18.884,193.29,188.361
2021-12-04 09:00:00,47072.1,0.1621,19.209,197.66,190.23
2021-12-04 10:00:00,47377.4,0.16802,19.491,199.39,193.62
2021-12-04 11:00:00,47799.9,0.173831,20.078,201.51,202.943
2021-12-04 12:00:00,48186.5,0.175893,20.006,199.52,204.918
2021-12-04 13:00:00,47828.8,0.17309,19.585,194.94,198.833
2021-12-04 14:00:00,48243.3,0.175299,19.931,197.75,202.997
2021-12-04 15:00:00,48847.2,0.178497,20.102,198.76,205.939
2021-12-04 16:00:00,49243.0,0.180299,20.653,198.91,206.895
2021-12-04 17:00:00,49241.4,0.176988,20.748,199.23,206.94
2021-12-04 18:00:00,48689.6,0.175968,20.655,197.78,200.987
2021-12-04 19:00:00,49203.9,0.178936,20.693,203.01,203.551
2021-12-04 20:00:00,49160.0,0.178412,20.647,204.36,200.748
2021-12-04 21:00:00,48950.4,0.176197,20.386,202.31,197.195
2021-12-04 22:00:00,49021.3,0.173471,20.383,202.9,195.869
2021-12-04 23:00:00,49047.8,0.174674,20.256,203.36,193.872
2021-12-05 00:00:00,49166.1,0.178569,20.307,205.31,196.631
2021-12-05 00:00:00,48940.0,0.177143,19.965,200.69,195.834
2021-12-05 01:00:00,49413.4,0.178911,20.175,203.66,199.553
2021-12-05 02:00:00,49463.3,0.178103,20.236,204.49,202.04
2021-12-05 03:00:00,49289.8,0.176527,20.068,202.94,200.573
2021-12-05 04:00:00,49453.0,0.177075,20.062,203.24,201.111
2021-12-05 05:00:00,48990.0,0.173885,19.698,200.32,196.889
2021-12-05 06:00:00,49220.2,0.174622,19.735,201.91,198.263
2021-12-05 07:00:00,49230.7,0.174504,19.752,202.18,196.132
2021-12-05 08:00:00,49351.2,0.175202,19.919,204.03,197.209
2021-12-05 09:00:00,49279.3,0.173651,19.721,202.94,194.732
2021-12-05 10:00:00,48941.4,0.168668,19.206,198.61,190.52
2021-12-05 11:00:00,47964.5,0.165997,18.825,194.95,185.278
2021-12-05 12:00:00,48470.0,0.168376,18.958,196.56,187.607
2021-12-05 13:00:00,49262.3,0.170929,19.294,200.23,190.146
2021-12-05 14:00:00,49080.4,0.169347,19.17,199.43,190.162
2021-12-05 15:00:00,48900.0,0.169282,19.136,197.62,190.272
2021-12-05 16:00:00,48817.5,0.169305,19.171,197.9,190.42
2021-12-05 17:00:00,49162.9,0.169609,19.219,198.0,190.432
2021-12-05 18:00:00,49206.0,0.170958,19.307,199.3,190.415
2021-12-05 19:00:00,49390.0,0.171549,19.483,201.1,196.356
2021-12-05 20:00:00,48739.3,0.167325,18.776,194.3,189.784
2021-12-05 21:00:00,48800.0,0.169305,18.765,198.3,192.169
2021-12-06 00:00:00,48863.7,0.170592,18.942,199.91,192.181
2021-12-06 01:00:00,49008.7,0.170872,19.115,199.68,193.167
2021-12-06 02:00:00,48959.1,0.169804,19.036,199.8,194.519
2021-12-06 03:00:00,48670.3,0.167736,18.631,195.98,190.554
2021-12-06 04:00:00,48173.1,0.165408,18.257,194.41,187.615
2021-12-06 05:00:00,48416.8,0.164829,18.189,195.18,185.162
2021-12-06 06:00:00,48170.6,0.165527,18.212,194.08,183.948
2021-12-06 07:00:00,47448.4,0.161547,17.677,190.12,178.773
2021-12-06 08:00:00,47494.1,0.161518,17.531,188.11,179.383
2021-12-06 09:00:00,48572.5,0.166119,18.04,193.38,182.079
2021-12-06 10:00:00,48485.2,0.165983,17.951,192.62,182.256
2021-12-06 11:00:00,48319.6,0.165687,17.915,191.75,181.746
2021-12-06 12:00:00,48218.1,0.16626,17.956,193.23,180.225
2021-12-06 13:00:00,48954.1,0.172994,18.532,198.35,188.306
2021-12-06 14:00:00,49121.5,0.173068,18.718,199.06,188.353
2021-12-06 15:00:00,48947.2,0.173005,18.551,197.21,188.119
2021-12-06 16:00:00,49160.0,0.173383,18.525,197.04,189.657
2021-12-06 17:00:00,49087.7,0.173887,18.428,196.16,187.517
2021-12-06 18:00:00,48806.0,0.17371,18.535,195.05,188.083
2021-12-06 19:00:00,50073.0,0.177487,19.29,200.6,192.573
2021-12-06 20:00:00,50739.8,0.178732,19.619,203.06,196.273
2021-12-06 21:00:00,50425.7,0.177671,19.786,200.5,193.646
2021-12-06 22:00:00,50621.9,0.179086,19.957,201.51,196.635
2021-12-06 23:00:00,50610.9,0.179724,19.894,200.29,194.764
2021-12-07 00:00:00,50628.8,0.1779,19.86,199.5,193.936
2021-12-07 00:00:00,50920.3,0.17957,20.014,202.3,195.291
2021-12-07 01:00:00,50894.3,0.178695,20.04,201.67,196.248
2021-12-07 02:00:00,50861.0,0.178782,19.938,201.42,196.909
2021-12-07 03:00:00,51141.1,0.180305,20.026,201.16,199.904
2021-12-07 04:00:00,50913.1,0.179514,19.953,200.01,199.447
2021-12-07 05:00:00,51201.6,0.180708,20.176,204.34,203.454
2021-12-07 06:00:00,51250.0,0.180164,20.01,202.7,202.089
2021-12-07 07:00:00,51314.0,0.18061,20.066,202.98,202.136
2021-12-07 08:00:00,51454.8,0.181481,20.337,203.16,203.161
2021-12-07 09:00:00,50908.5,0.17746,19.905,201.29,199.423
2021-12-07 10:00:00,50921.2,0.179485,19.912,202.21,198.26
2021-12-07 11:00:00,51474.4,0.181402,20.524,207.38,199.552
2021-12-07 12:00:00,51739.9,0.181215,20.563,206.04,198.242
2021-12-07 13:00:00,51340.0,0.179894,20.587,203.64,196.867
2021-12-07 14:00:00,50990.6,0.179704,20.8,202.95,196.777
2021-12-07 15:00:00,50934.0,0.179498,20.514,205.66,195.125
2021-12-07 16:00:00,50889.6,0.179692,20.477,206.29,194.315
2021-12-07 17:00:00,50445.9,0.177765,20.283,205.73,192.543
2021-12-07 18:00:00,50500.0,0.178338,20.576,205.92,191.767
2021-12-07 19:00:00,50249.1,0.175591,20.215,202.22,189.474
2021-12-07 20:00:00,50595.6,0.176493,21.095,206.67,190.3
2021-12-07 21:00:00,50718.1,0.177722,21.79,211.16,191.966
2021-12-07 22:00:00,50428.0,0.17755,21.671,211.54,190.896
2021-12-07 23:00:00,50333.7,0.177446,21.707,210.09,188.493
2021-12-08 00:00:00,50126.4,0.176715,21.538,210.0,186.684
2021-12-08 00:00:00,50249.5,0.177658,21.818,210.12,188.081
2021-12-08 01:00:00,50412.0,0.177911,21.69,212.4,187.915
2021-12-08 02:00:00,50607.6,0.180424,21.878,213.21,189.794
2021-12-08 03:00:00,50496.2,0.180315,22.188,212.09,189.682
2021-12-08 04:00:00,50416.1,0.180384,22.388,211.15,189.549
2021-12-08 05:00:00,50150.0,0.179299,22.164,208.82,187.869
2021-12-08 06:00:00,49235.1,0.174269,21.359,202.85,185.162
2021-12-08 07:00:00,49185.8,0.174536,21.629,202.62,186.331
2021-12-08 08:00:00,49225.8,0.176932,21.874,204.74,188.199
2021-12-08 09:00:00,49049.3,0.17535,22.24,203.82,187.525
2021-12-08 10:00:00,50729.1,0.179155,22.99,209.33,194.118
2021-12-08 11:00:00,50646.8,0.179169,22.847,209.98,192.443
2021-12-08 12:00:00,50450.8,0.178704,22.303,210.44,191.416
2021-12-08 13:00:00,50288.5,0.17893,22.112,211.04,193.261
2021-12-08 14:00:00,50557.9,0.179962,22.604,210.06,193.949
2021-12-08 15:00:00,50447.0,0.179558,22.419,210.52,192.991
2021-12-08 16:00:00,50701.4,0.179788,22.614,210.59,193.121
2021-12-08 17:00:00,50596.2,0.179368,22.446,211.25,191.645
2021-12-08 18:00:00,50211.3,0.178268,22.128,210.09,193.177
2021-12-08 19:00:00,50455.5,0.17913,22.934,209.77,194.58
2021-12-08 20:00:00,50402.6,0.179922,22.497,207.96,193.957
2021-12-08 21:00:00,50179.8,0.178742,22.145,206.18,192.566
2021-12-09 00:00:00,49880.1,0.177399,21.793,204.58,191.025
2021-12-09 01:00:00,49514.1,0.176758,21.681,203.24,189.222
2021-12-09 02:00:00,49794.9,0.178102,21.983,204.19,191.391
2021-12-09 03:00:00,49762.4,0.176913,21.92,204.28,190.418
2021-12-09 04:00:00,49612.2,0.176392,21.857,203.0,190.478
2021-12-09 05:00:00,49994.1,0.177474,22.019,204.32,190.866
2021-12-09 06:00:00,49506.7,0.176725,21.758,204.09,188.953
2021-12-09 07:00:00,49211.2,0.179709,21.639,203.64,187.646
2021-12-09 08:00:00,49307.4,0.178526,21.7,203.6,188.439
2021-12-09 09:00:00,49163.9,0.177759,21.548,201.94,187.729
2021-12-09 10:00:00,49393.2,0.178062,21.567,200.95,188.374
2021-12-09 11:00:00,49342.0,0.177551,21.477,200.49,188.873
2021-12-09 12:00:00,48580.1,0.173871,20.77,195.02,184.606
2021-12-09 13:00:00,48466.2,0.173138,21.033,194.37,184.909
2021-12-09 14:00:00,48509.8,0.175441,21.106,194.84,183.835
2021-12-09 15:00:00,48175.6,0.172994,20.974,192.88,182.307
2021-12-09 16:00:00,47754.4,0.170695,20.848,189.42,180.336
2021-12-09 17:00:00,47617.5,0.172029,20.839,189.15,181.28
2021-12-09 18:00:00,47686.8,0.17148,20.625,190.07,180.777
2021-12-09 19:00:00,47971.1,0.172083,20.775,191.57,182.508
2021-12-09 20:00:00,47942.1,0.171648,20.745,191.28,183.323
2021-12-09 21:00:00,47568.0,0.168976,20.268,189.01,181.195
2021-12-09 22:00:00,48031.2,0.170416,20.573,189.71,181.637
2021-12-09 23:00:00,48410.9,0.171278,20.537,190.36,182.214
2021-12-10 00:00:00,48523.1,0.171624,20.504,189.9,181.822
2021-12-10 00:00:00,48374.1,0.171134,20.241,188.78,179.864
2021-12-10 01:00:00,48168.0,0.170472,19.974,189.13,178.899
2021-12-10 02:00:00,48258.3,0.170173,19.971,190.08,178.478
2021-12-10 03:00:00,47850.6,0.167465,19.598,187.99,176.801
2021-12-10 04:00:00,47700.0,0.166474,19.475,188.0,176.198
2021-12-10 05:00:00,48097.2,0.16796,19.573,190.78,176.537
2021-12-10 06:00:00,48376.9,0.169218,19.801,194.8,177.212
2021-12-10 07:00:00,48200.1,0.168794,19.779,192.97,177.444
2021-12-10 08:00:00,48714.0,0.170524,20.093,194.08,178.688
